Gene	Symbol
XPR1	XPR1
GLUL	GLUL
RNASEL	RNASEL
RGS16	RGS16
NPL	NPL
NCF2	NCF2
RGL1	RGL1
C1orf21	C1orf21
NIBAN1	NIBAN1
PTGS2	PTGS2
PLA2G4A	PLA2G4A
RGS18	RGS18
RGS1	RGS1
RGS13	RGS13
RGS2	RGS2
UCHL5	UCHL5
GLRX2	GLRX2
B3GALT2	B3GALT2
ASPM	ASPM
NR5A2	NR5A2
TNNT2	TNNT2
LAD1	LAD1
PHLDA3	PHLDA3
NAV1	NAV1
TIMM17A	TIMM17A
PTPN7	PTPN7
UBE2T	UBE2T
CHI3L1	CHI3L1
BTG2	BTG2
SNRPE	SNRPE
PPP1R15B	PPP1R15B
NFASC	NFASC
SLC45A3	SLC45A3
RAB7B	RAB7B
IL10	IL10
IL24	IL24
PIGR	PIGR
C4BPB	C4BPB
CD55	CD55
CR2	CR2
CR1	CR1
CR1L	CR1L
PLXNA2	PLXNA2
MIR205HG	MIR205HG
HSD11B1-AS1	HSD11B1-AS1
G0S2	G0S2
HSD11B1	HSD11B1
LINC00467	LINC00467
SLC30A1	SLC30A1
DTL	DTL
NENF	NENF
ATF3	ATF3
BATF3	BATF3
VASH2	VASH2
CENPF	CENPF
RRP15	RRP15
LYPLAL1-AS1	LYPLAL1-AS1
C1orf115	C1orf115
HLX	HLX
LINC02257	LINC01705
LINC01705	LINC01705
TLR5	TLR5
LEFTY1	LEFTY1
STUM	STUM
OBSCN-AS1	OBSCN-AS1
HIST3H2BB	H2BC26
RHOU	RHOU
GALNT2	GALNT2
PGBD5	PGBD5
SIPA1L2	SIPA1L2
KCNK1	KCNK1
SLC35F3	SLC35F3
GNG4	GNG4
LYST	LYST
GPR137B	GPR137B
RYR2	RYR2
CHRM3	CHRM3
GREM2	GREM2
WDR64	WDR64
EXO1	EXO1
C1orf100	SPMIP3P1
KIF26B	KIF26B
LINC01341	LINC01341
GCSAML	GCSAML
TRIM58	TRIM58
MYT1L	MYT1L
EIPR1-IT1	EIPR1-IT1
CMPK2	CMPK2
RSAD2	RSAD2
RNF144A-AS1	GRASLND
LINC01871	LINC01871
ID2-AS1	ID2-AS1
ID2	ID2
ASAP2	ASAP2
ITGB1BP1	ITGB1BP1
CYS1	CYS1
RRM2	RRM2
HPCAL1	HPCAL1
ODC1	ODC1
KCNF1	KCNF1
NBAS	NBAS
LINC00954	LINC00954
DPP4	DPP4
CYBRD1	CYBRD1
ITGA6-AS1	ITGA6-AS1
MAP3K20	MAP3K20
