Gene	Symbol
MCM10	MCM10
ACBD7	ACBD7
VIM	VIM
ST8SIA6	ST8SIA6
HACD1	HACD1
TMEM236	TMEM236
MRC1	MRC1
PLXDC2	PLXDC2
ENKUR	ENKUR
ANKRD26	ANKRD26
MAP3K8	MAP3K8
LINC02664	LINC02664
ITGB1	ITGB1
NRP1	NRP1
CREM	CREM
ANKRD30A	ANKRD30A
BMS1	BMS1
CSGALNACT2	CSGALNACT2
RASGEF1A	RASGEF1A
RASSF4	RASSF4
C10orf25	ZNF22-AS1
WDFY4	WDFY4
TMEM273	TMEM273
CSTF2T	CSTF2T
DKK1	DKK1
LNCAROD	LNCAROD
ZWINT	ZWINT
CISD1	CISD1
SLC16A9	SLC16A9
MRLN	MRLN
ANK3	ANK3
CDK1	CDK1
RTKN2	RTKN2
LINC02621	LINC02621
ZNF365	ZNF365
EGR2	EGR2
JMJD1C-AS1	JMJD1C-AS1
DNAJC12	DNAJC12
DDX21	DDX21
SRGN	SRGN
TACR2	TACR2
H2AFY2	MACROH2A2
PPA1	PPA1
PRF1	PRF1
UNC5B-AS1	UNC5B-AS1
SLC29A3	SLC29A3
VSIR	VSIR
PSAP	PSAP
CHST3	CHST3
DDIT4	DDIT4
DDIT4-AS1	DDIT4-AS1
DNAJC9-AS1	DNAJC9-AS1
PLAU	PLAU
LRMDA	LRMDA
KCNMA1	KCNMA1
ZMIZ1-AS1	ZMIZ1-AS1
PPIF	PPIF
SFTPD	SFTPD
ANXA11	ANXA11
LIPF	LIPF
ANKRD22	ANKRD22
LIPA	LIPA
IFIT2	IFIT2
IFIT3	IFIT3
IFIT1	IFIT1
KIF20B	KIF20B
ANKRD1	ANKRD1
HECTD2	HECTD2
KIF11	KIF11
MYOF	MYOF
CEP55	CEP55
HELLS	HELLS
PDLIM1	PDLIM1
TCTN3	TCTN3
ENTPD1	ENTPD1
CC2D2B	CC2D2B
BLNK	BLNK
PIK3AP1	PIK3AP1
PGAM1	PGAM1
GOLGA7B	GOLGA7B
ENTPD7	ENTPD7
KAZALD1	KAZALD1
NPM3	NPM3
NOLC1	NOLC1
ARL3	ARL3
PDCD11	PDCD11
NEURL1	NEURL1
ITPRIP-AS1	ITPRIP-AS1
CFAP58-DT	CFAP58-DT
CFAP58	CFAP58
DUSP5	DUSP5
ACSL5	ACSL5
TDRD1	TDRD1
AFAP1L2	AFAP1L2
ABLIM1	ABLIM1
SHTN1	SHTN1
EIF3A	EIF3A
SFXN4	SFXN4
RGS10	RGS10
INPP5F	INPP5F
WDR11-AS1	WDR11-DT
BTBD16	BTBD16
HTRA1	HTRA1
HMX3	HMX3
CHST15	CHST15
FAM53B-AS1	FAM53B-AS1
FANK1	FANK1
ADAM12	ADAM12
DOCK1	DOCK1
PTPRE	PTPRE
MKI67	MKI67
LINC02666	LINC02666
BNIP3	BNIP3
DPYSL4	DPYSL4
CFAP46	CFAP46
CYP2E1	CYP2E1
SYCE1	SYCE1
FRG2B	FRG2B
IFITM2	IFITM2
SCT	SCT
CEND1	CEND1
CD151	CD151
TOLLIP	TOLLIP
CTSD	CTSD
LSP1	LSP1
IGF2	IGF2
KCNQ1OT1	KCNQ1OT1
CDKN1C	CDKN1C
PHLDA2	PHLDA2
OSBPL5	OSBPL5
RRM1	RRM1
HBB	HBB
HBD	HBD
CAVIN3	CAVIN3
TRIM3	TRIM3
MRPL17	MRPL17
CYB5R2	CYB5R2
ST5	DENND2B
NRIP3	NRIP3
SWAP70	SWAP70
SBF2	SBF2
ADM	ADM
MTRNR2L8	MTRNR2L8
GALNT18	GALNT18
MICAL2	MICAL2
NR1H3	NR1H3
SPI1	SPI1
AC090559.1	SLC39A13-AS1
AGBL2	AGBL2
SSRP1	SSRP1
SLC43A3	SLC43A3
RTN4RL2	RTN4RL2
SERPING1	SERPING1
CNTF	CNTF
FAM111B	FAM111B
FAM111A	FAM111A
MPEG1	MPEG1
MS4A3	MS4A3
MS4A6A	MS4A6A
MS4A4A	MS4A4A
MS4A7	MS4A7
MS4A1	MS4A1
CCDC86	CCDC86
PTGDR2	PTGDR2
SLC15A3	SLC15A3
PGA3	PGA3
PGA4	PGA4
PGA5	PGA5
TKFC	TKFC
DAGLA	DAGLA
FEN1	FEN1
FTH1	FTH1
SCGB1A1	SCGB1A1
AHNAK	AHNAK
PLAAT4	PLAAT4
PLAAT3	PLAAT3
STIP1	STIP1
PPP1R14B	PPP1R14B
CATSPERZ	CATSPERZ
MEN1	MEN1
MAJIN	MAJIN
BATF2	BATF2
CDCA5	CDCA5
TM7SF2	TM7SF2
SYVN1	SYVN1
NEAT1	NEAT1
ZNRD2	ZNRD2
RNASEH2C	RNASEH2C
AP5B1	AP5B1
OVOL1	OVOL1
CTSW	CTSW
CCDC85B	CCDC85B
CST6	CST6
CATSPER1	CATSPER1
CLCF1	CLCF1
CORO1B	CORO1B
ACY3	ACY3
LINC02754	LINC02754
UNC93B1	UNC93B1
ALDH3B1	ALDH3B1
TCIRG1	TCIRG1
GAL	GAL
MYEOV	MYEOV
CCND1	CCND1
IL18BP	IL18BP
FOLR3	FOLR3
ARAP1	ARAP1
P2RY6	P2RY6
UCP2	UCP2
UCP3	UCP3
SLCO2B1	SLCO2B1
LINC02757	LINC02757
LRRC32	LRRC32
TSKU	TSKU
PAK1	PAK1
DDIAS	DDIAS
ANKRD42	ANKRD42
EED	EED
ME3	ME3
PRSS23	PRSS23
CTSC	CTSC
SMCO4	SMCO4
PIWIL4	PIWIL4
AMOTL1	AMOTL1
SESN3	SESN3
CCDC82	CCDC82
ARHGAP42	ARHGAP42
BIRC3	BIRC3
MMP1	MMP1
MMP3	MMP3
DCUN1D5	DCUN1D5
DYNC2H1	DYNC2H1
CARD17	CARD17P
RAB39A	RAB39A
POGLUT3	POGLUT3
DDX10	DDX10
RDX	RDX
LINC02732	LINC02732
ARHGAP20	ARHGAP20
POU2AF1	POU2AF1
LAYN	LAYN
CRYAB	CRYAB
DIXDC1	DIXDC1
TIMM8B	TIMM8B
NCAM1	NCAM1
ZBTB16	ZBTB16
NNMT	NNMT
CADM1	CADM1
LINC00900	LINC00900
FXYD2	FXYD2
FXYD6	FXYD6
TMPRSS13	TMPRSS13
JAML	JAML
MPZL2	MPZL2
CD3D	CD3D
TTC36	TTC36
MCAM	MCAM
USP2	USP2
NECTIN1	NECTIN1
OAF	OAF
GRIK4	GRIK4
CRTAM	CRTAM
HSPA8	HSPA8
GRAMD1B	GRAMD1B
NRGN	NRGN
ESAM	ESAM
HSD17B6	HSD17B6
LRP1	LRP1
NXPH4	NXPH4
SHMT2	SHMT2
NDUFA4L2	COXFA4L2
STAC3	STAC3
B4GALNT1	B4GALNT1
CDK4	CDK4
CYP27B1	CYP27B1
METTL1	METTL1
SLC16A7	SLC16A7
RXYLT1	RXYLT1
GNS	GNS
TBC1D30	TBC1D30
HMGA2	HMGA2
HMGA2-AS1	HMGA2-AS1
IRAK3	IRAK3
GRIP1	GRIP1
DYRK2	DYRK2
IFNG	IFNG
IL26	IL26
IL22	IL22
LINC02384	LINC02384
MDM2	MDM2
CPM	CPM
LYZ	LYZ
CCT2	CCT2
KCNMB4	KCNMB4
PHLDA1	PHLDA1
OSBPL8	OSBPL8
E2F7	E2F7
NTS	NTS
CEP290	CEP290
KITLG	KITLG
LINC02458	LINC02458
DUSP6	DUSP6
POC1B-AS1	POC1B-AS1
DCN	DCN
LINC01619	LINC01619
CLLU1OS	CLLU1-AS1
SOCS2	SOCS2
CRADD	CRADD
TMCC3	TMCC3
FGD6	FGD6
SNRPF	SNRPF
ANKS1B	ANKS1B
GAS2L3	GAS2L3
UTP20	UTP20
GNPTAB	GNPTAB
DRAM1	DRAM1
PMCH	PMCH
HELLPAR	HELLPAR
IGF1	IGF1
ASCL1	ASCL1
C12orf73	UQCC6
EID3	EID3
CHST11	CHST11
SLC41A2	SLC41A2
C12orf75	C12orf75
NUAK1	NUAK1
TCP11L2	TCP11L2
FICD	FICD
UNG	UNG
FAM216A	FAM216A
HVCN1	HVCN1
ALDH2	ALDH2
NAA25	NAA25
CFAP73	CFAP73
PLBD2	PLBD2
SDS	SDS
SDSL	SDSL
LINC01234	LINC01234
LINC00173	LINC00173
HRK	HRK
TESC	TESC
KSR2	KSR2
WSB2	WSB2
DYNLL1	DYNLL1
AC125616.1	CABP1-DT
OASL	OASL
P2RX7	P2RX7
BCL7A	BCL7A
IL31	IL31
HCAR2	HCAR2
HCAR3	HCAR3
HCAR1	HCAR1
RILPL2	RILPL2
DNAH10	DNAH10
CCDC92	CCDC92
LINC00944	LINC00944
LINC02376	LINC02376
RAN	RAN
MMP17	MMP17
ULK1	ULK1
PSPC1-AS2	PSPC1-AS2
GJB2	GJB2
GJB6	GJB6
SKA3	SKA3
FGF9	FGF9
PCOTH	PCOTH
ATP12A	ATP12A
ATP8A2	ATP8A2
WASF3	WASF3
USP12-AS2	USP12-AS1
FLT3	FLT3
POMP	POMP
ALOX5AP	ALOX5AP
HSPH1	HSPH1
BRCA2	BRCA2
RFC3	RFC3
LHFPL6	LHFPL6
RGCC	RGCC
LINC02341	LINC02341
TNFSF11	TNFSF11
LINC01050	LINC01050
EPSTI1	EPSTI1
ENOX1	ENOX1
TSC22D1	TSC22D1
LINC01055	LINC01055
CPB2-AS1	CPB2-AS1
LCP1	LCP1
LINC00563	LINC00563
HTR2A	HTR2A
SUCLA2-AS1	SUCLA2-AS1
RB1	RB1
LPAR6	LPAR6
RCBTB2	RCBTB2
CAB39L	CAB39L
DLEU2	DLEU2
RNASEH2B-AS1	RNASEH2B-AS1
LINC00345	LINC00345
DIAPH3	DIAPH3
TDRD3	TDRD3
PCDH9	PCDH9
DACH1	DACH1
TBC1D4	TBC1D4
LMO7	LMO7
POU4F1	POU4F1
SPRY2	SPRY2
DCT	DCT
UGGT2	UGGT2
RAP2A	RAP2A
IPO5	IPO5
GPR183	GPR183
CCDC168	LRTM3
TNFSF13B	TNFSF13B
MYO16	MYO16
AL161431.1	LINC00370
COL4A2	COL4A2
COL4A2-AS2	COL4A2-AS2
RAB20	RAB20
TRAV13-1	TRAV13-1
TRAV12-2	TRAV12-2
TRAV8-5	TRAV8-5
TRAV13-2	TRAV13-2
TRAV14DV4	TRAV14DV4
TRAV8-6	TRAV8-6
TRAV17	TRAV17
TRAV19	TRAV19
TRAV20	TRAV20
TRAV22	TRAV22
TRAV23DV6	TRAV23DV6
TRDV1	TRDV1
TRAV25	TRAV25
TRAV27	TRAV27
TRAV30	TRAV30
TRAV26-2	TRAV26-2
TRAV34	TRAV34
TRAV35	TRAV35
TRAV36DV7	TRAV36DV7
TRAV38-2DV8	TRAV38-2DV8
TRAV39	TRAV39
TRAV40	TRAV40
TRAV41	TRAV41
TRDV2	TRDV2
TRDJ1	TRDJ1
TRDC	TRDC
TRDV3	TRDV3
LINC02332	LINC02332
SLC7A7	SLC7A7
MRPL52	MRPL52
MMP14	MMP14
REM2	REM2
AJUBA	AJUBA
PSMB5	PSMB5
CEBPE	CEBPE
SLC7A8	SLC7A8
RNF212B	RNF212B
CMTM5	CMTM5
JPH4	JPH4
CPNE6	CPNE6
CTSG	CTSG
GZMH	GZMH
GZMB	GZMB
HECTD1	HECTD1
EGLN3	EGLN3
PSMA6	PSMA6
NFKBIA	NFKBIA
NKX2-1	NKX2-1-AS1
FOXA1	FOXA1
RPL10L	RPL10L
POLE2	POLE2
LINC01588	LINC01588
PYGL	PYGL
TRIM9	TRIM9
LINC00519	LINC00519
LINC00640	LINC00640
GPR137C	GPR137C
ERO1A	ERO1A
FERMT2	FERMT2
BMP4	BMP4
CDKN3	CDKN3
GCH1	GCH1
WDHD1	WDHD1
LGALS3	LGALS3
DLGAP5	DLGAP5
LINC00520	LINC00520
TOMM20L	TOMM20L
DACT1	DACT1
CCDC175	CCDC175
SLC38A6	SLC38A6
HIF1A-AS3	HIF1A-AS1
HSPA2	HSPA2
FUT8	FUT8
FAM71D	GARIN2
EIF2S1	EIF2S1
ZFP36L1	ZFP36L1
ACTN1	ACTN1
ADAM20	ADAM20
DPF3	DPF3
PAPLN	PAPLN
NUMB	NUMB
NPC2	NPC2
LTBP2	LTBP2
RPS6KL1	RPS6KL1
FOS	FOS
BATF	BATF
LINC02288	LINC02288
GSTZ1	GSTZ1
SAMD15	SAMD15
SLIRP	SLIRP
STON2	STON2
AL049775.1	FLRT2-AS1
FLRT2	FLRT2
KCNK13	KCNK13
TTC7B	TTC7B
GPR68	GPR68
SLC24A4	SLC24A4
LGMN	LGMN
TMEM251	LYSET
ASB2	ASB2
IFI27	IFI27
PPP4R4	PPP4R4
SERPINA10	SERPINA10
SERPINA1	SERPINA1
SERPINA3	SERPINA3
TCL1A	TCL1A
VRK1	VRK1
CYP46A1	CYP46A1
WARS	WARS1
BEGAIN	BEGAIN
HSP90AA1	HSP90AA1
TNFAIP2	TNFAIP2
CKB	CKB
TDRD9	TDRD9
ADSSL1	ADSS1
PLD4	PLD4
CRIP1	CRIP1
IGHA2	IGHA2
IGHG1	IGHG1
PRSS21	PRSS21
ZG16B	ZG16B
PKMYT1	PKMYT1
TNFRSF12A	TNFRSF12A
IL32	IL32
TRAP1	TRAP1
GLIS2	GLIS2
PAM16	PAM16
SMIM22	SMIM22
C16orf72	HAPSTR1
TVP23A	TVP23A
CIITA	CIITA
SOCS1	SOCS1
SNN	SNN
GSPT1	GSPT1
SHISA9	SHISA9
LINC02185	LINC02185
NTAN1	NTAN1
BMERB1	BMERB1
ITPRIPL2	ITPRIPL2
SYT17	SYT17
TMC5	TMC5
ACSM1	ACSM1
CRYM	CRYM
IGSF6	IGSF6
OTOA	OTOA
CDR2	CDR2
HS3ST2	HS3ST2
NDUFAB1	NDUFAB1
LCMT1-AS1	LCMT1-AS1
LINC02195	LINC02195
IL21R	IL21R
APOBR	APOBR
IL27	IL27
CD19	CD19
LAT	LAT
NPIPB12	NPIPB12
SEZ6L2	SEZ6L2
ASPHD1	ASPHD1
HIRIP3	HIRIP3
CORO1A	CORO1A
ZNF771	ZNF771
DCTPP1	DCTPP1
ORAI3	ORAI3
HSD3B7	HSD3B7
PYDC1	PYDC1
ITGAM	ITGAM
ITGAX	ITGAX
ITGAD	ITGAD
ZNF843	ZNF843
TGFB1I1	TGFB1I1
SHCBP1	SHCBP1
ORC6	ORC6
NETO2	NETO2
NKD1	NKD1
LINC02168	LINC02168
LPCAT2	LPCAT2
CES1	CES1
MT3	MT3
MT2A	MT2A
MT1E	MT1E
MT1M	MT1M
MT1G	MT1G
MT1X	MT1X
CCL22	CCL22
CCL17	CCL17
ADGRG5	ADGRG5
ADGRG1	ADGRG1
CCDC113	CFAP263
TK2	TK2
RRAD	RRAD
KCTD19	KCTD19
CDH1	CDH1
NQO1	NQO1
ST3GAL2	ST3GAL2
VAC14	VAC14
CALB2	CALB2
PMFBP1	PMFBP1
ZNRF1	ZNRF1
BCAR1	BCAR1
CHST5	CHST5
CLEC3A	CLEC3A
WWOX-AS1	WWOX-AS1
MAF	MAF
LINC01229	LINC01229
LINC01227	LINC01227
GCSH	GCSH
PLCG2	PLCG2
OSGIN1	OSGIN1
COTL1	COTL1
CRISPLD2	CRISPLD2
GINS2	GINS2
IRF8	IRF8
ZCCHC14	ZCCHC14
SLC7A5	SLC7A5
CDT1	CDT1
APRT	APRT
CBFA2T3	CBFA2T3
LINC00304	LINC00304
TUBB3	TUBB3
YWHAE	YWHAE
SLC43A2	SLC43A2
SCARF1	SCARF1
HIC1	HIC1
TSR1	TSR1
SGSM2	SGSM2
CTNS	CTNS
P2RX1	P2RX1
CYB5D2	CYB5D2
SPNS3	SPNS3
ALOX15	ALOX15
CXCL16	CXCL16
VMO1	VMO1
PFN1	PFN1
CAMTA2	CAMTA2
SCIMP	SCIMP
C1QBP	C1QBP
TXNDC17	TXNDC17
XAF1	XAF1
ALOX12	ALOX12
DLG4	DLG4
EIF5A	EIF5A
EIF4A1	EIF4A1
CD68	CD68
SOX15	SOX15
ATP1B2	ATP1B2
TRAF4	TRAF4
MYO18A	MYO18A
SLC6A4	SLC6A4
TMIGD1	TMIGD1
ATAD5	ATAD5
RAB11FIP4	RAB11FIP4
COPRS	COPRS
RHBDL3	RHBDL3
CDK5R1	CDK5R1
CCL2	CCL2
CCL7	CCL7
CCL1	CCL1
SLC35G3	SLC35G3
SLFN14	SLFN14
MMP28	MMP28
CCL5	CCL5
CCL18	CCL18
CCL3	CCL3
CCL4	CCL4
CCL3L1	CCL3L1
CCL4L2	CCL4L2
MRM1	MRM1
LHX1	LHX1
DUSP14	DUSP14
SRCIN1	SRCIN1
EPOP	EPOP
CISD3	CISD3
C17orf98	SPMAP1
LASP1	LASP1
GRB7	GRB7
IKZF3	IKZF3
THRA	THRA
CDC6	CDC6
RARA-AS1	RARA-AS1
TOP2A	TOP2A
IGFBP4	IGFBP4
CCR7	CCR7
KRT23	KRT23
KRT13	KRT13
KRT15	KRT15
KRT19	KRT19
KRT16	KRT16
KRT17	KRT17
HAP1	HAP1
PSMC3IP	PSMC3IP
VAT1	VAT1
RND2	RND2
BRCA1	BRCA1
MEOX1	MEOX1
FAM215A	FAM215A
LINC01976	LINC01976
PYY	PYY
C17orf53	HROB
RUNDC3A-AS1	RUNDC3A-AS1
GRN	GRN
ITGA2B	ITGA2B
GJC1	GJC1
C1QL1	C1QL1
LINC01974	GOSR2-DT
ITGB3	ITGB3
KPNB1	KPNB1
TBX21	TBX21
LRRC46	LRRC46
HOXB3	HOXB3
HOXB5	HOXB5
HOXB8	HOXB8
GNGT2	GNGT2
PHB	PHB1
SAMD14	SAMD14
COL1A1	COL1A1
ABCC3	ABCC3
TOB1	TOB1
SPAG9	SPAG9
NME1	NME1
NME2	NME2
HLF	HLF
SCPEP1	SCPEP1
MSI2	MSI2
MPO	MPO
SEPTIN4	SEPTIN4
PRR11	PRR11
VMP1	VMP1
AC025048.4	HEATR6-DT
FTSJ3	FTSJ3
SCN4A	SCN4A
PRR29	PRR29
MILR1	MILR1
PSMD12	PSMD12
KPNA2	KPNA2
SLC16A6	SLC16A6
ABCA6	ABCA6
MAP2K6	MAP2K6
KCNJ2	KCNJ2
SOX9	SOX9
SSTR2	SSTR2
CDC42EP4	CDC42EP4
SDK2	SDK2
LINC00469	LINC00469
KIF19	KIF19
CD300A	CD300A
CD300LB	CD300LB
JPT1	JPT1
SPHK1	SPHK1
RHBDF2	RHBDF2
ST6GALNAC1	ST6GALNAC1
LINC01973	LINC01973
TK1	TK1
BIRC5	BIRC5
SOCS3	SOCS3
TIMP2	TIMP2
TBC1D16	TBC1D16
CCDC40	CCDC40
CARD14	CARD14
SLC26A11	SLC26A11
NPTX1	NPTX1
ICAM1	ICAM1
PDE4A	PDE4A
S1PR5	S1PR5
CDKN2D	CDKN2D
KANK2	KANK2
EPOR	EPOR
ACP5	ACP5
ZNF433	ZNF433
JUNB	JUNB
FARSA	FARSA
CALR	CALR
NFIX	NFIX
IER2	IER2
C19orf57	BRME1
ADGRE5	ADGRE5
DNAJB1	DNAJB1
CLEC17A	CLEC17A
NOTCH3	NOTCH3
CYP4F3	CYP4F3
CYP4F12	CYP4F12
TPM4	TPM4
KLF2	KLF2
CCDC124	CCDC124
KCNN1	KCNN1
IFI30	IFI30
JUND	JUND
GDF15	GDF15
LRRC25	LRRC25
CRLF1	CRLF1
HOMER3	HOMER3
MEF2B	MEF2B
RFXANK	RFXANK
NCAN	NCAN
ZNF429	ZNF429
ZNF208	ZNF208
CCNE1	CCNE1
PDCD5	PDCD5
CEBPA	CEBPA
FXYD7	FXYD7
HAMP	HAMP
FFAR2	FFAR2
DMKN	DMKN
SBSN	SBSN
ZBTB32	ZBTB32
NPHS1	NPHS1
NFKBID	NFKBID
HCST	HCST
TYROBP	TYROBP
ZNF793-AS1	ZNF793-AS1
ZNF540	ZNF540
DPF1	DPF1
PPP1R14A	PPP1R14A
RYR1	RYR1
MRPS12	MRPS12
FBXO27	FBXO27
NCCRP1	NCCRP1
ZFP36	ZFP36
CLC	CLC
PLD3	PLD3
BLVRB	BLVRB
SPTBN4	SPTBN4
MIA	MIA
B9D2	B9D2
LINC01480	LINC01480
CD79A	CD79A
GRIK5	GRIK5
POU2F2	POU2F2
CXCL17	CXCL17
PSG2	PSG2
PINLYP	PINLYP
IRGQ	IRGQ
PLAUR	PLAUR
KCNN4	KCNN4
LYPD5	LYPD5
ZNF229	ZNF229
BCL3	BCL3
BCAM	BCAM
NECTIN2	NECTIN2
TOMM40	TOMM40
APOE	APOE
APOC1	APOC1
APOC2	APOC2
NKPD1	NKPD1
KLC3	KLC3
CD3EAP	POLR1G
FOSB	FOSB
RTN2	RTN2
VASP	VASP
EML2-AS1	EML2-AS1
DM1-AS	DM1-AS
IGFL2	IGFL2
PNMA8A	PNMA8A
PPP5D1	PPP5D1P
PNMA8B	PNMA8B
PTGIR	PTGIR
GNG8	GNG8
SLC1A5	SLC1A5
AP2S1	AP2S1
NPAS1	NPAS1
C5AR1	C5AR1
C5AR2	C5AR2
MEIS3	MEIS3
PLA2G4C	PLA2G4C
CCDC114	ODAD1
GRIN2D	GRIN2D
CA11	CA11
RASIP1	RASIP1
HSD17B14	HSD17B14
FTL	FTL
TRPM4	TRPM4
ALDH16A1	ALDH16A1
PRMT1	PRMT1
IL4I1	IL4I1
ATF5	ATF5
NAPSA	NAPSA
SPIB	SPIB
C19orf48	C19orf48P
KLK1	KLK1
KLK5	KLK5
KLK7	KLK7
SIGLEC9	SIGLEC9
NKG7	NKG7
LIM2	LIM2
SIGLEC10	SIGLEC10
SIGLEC12	SIGLEC12
SIGLEC5	SIGLEC5
FPR3	FPR3
ZNF415	ZNF415
TMC4	TMC4
LILRB3	LILRB3
LILRB2	LILRB2
CDC42EP5	CDC42EP5
LAIR2	LAIR2
LILRA2	LILRA2
LILRA1	LILRA1
LILRB1	LILRB1
LILRB4	LILRB4
KIR2DL3	KIR2DL3
KIR2DL1	KIR2DL1
KIR3DL1	KIR3DL1
FCAR	FCAR
NLRP7	NLRP7
CHGB	CHGB
PLCB1	PLCB1
JAG1	JAG1
MACROD2	MACROD2
BFSP1	BFSP1
DZANK1	DZANK1
RIN2	RIN2
INSM1	INSM1
CD93	CD93
CST3	CST3
AL035661.1	LINC02967
CST7	CST7
ABHD12	ABHD12
ZNF337	ZNF337
LINC01597	LINC01597
HM13	HM13
BCL2L1	BCL2L1
TPX2	TPX2
HCK	HCK
PLAGL2	PLAGL2
KIF3B	KIF3B
E2F1	E2F1
ZNF341-AS1	ZNF341-AS1
PROCR	PROCR
EPB41L1	EPB41L1
MYL9	MYL9
TLDC2	TLDC2
SAMHD1	SAMHD1
MROH8	MROH8
SRC	SRC
VSTM2L	VSTM2L
TGM2	TGM2
MAFB	MAFB
MYBL2	MYBL2
TOX2	TOX2
PKIG	PKIG
KCNK15-AS1	KCNK15-AS1
PI3	PI3
SLPI	SLPI
MATN4	MATN4
SDC4	SDC4
WFDC2	WFDC2
WFDC3	WFDC3
UBE2C	UBE2C
MMP9	MMP9
SLC12A5-AS1	SLC12A5-AS1
CD40	CD40
OCSTAMP	OCSTAMP
PREX1	PREX1
PTGIS	PTGIS
SNAI1	SNAI1
CEBPB-AS1	CEBPB-AS1
CEBPB	CEBPB
SMIM25	PELATON
KCNG1	KCNG1
TSHZ2	TSHZ2
BCAS1	BCAS1
DOK5	DOK5
BMP7	BMP7
PMEPA1	PMEPA1
APCDD1L	APCDD1L
APCDD1L-DT	APCDD1L-DT
CTSZ	CTSZ
EEF1A2	EEF1A2
C20orf204	C20orf204
HSPA13	HSPA13
SAMSN1	SAMSN1
BTG3	BTG3
CHODL	CHODL
LINC00158	LINC00158
MIR155HG	MIR155HG
ADAMTS1	ADAMTS1
CCT8	CCT8
MAP3K7CL	MAP3K7CL
TIAM1	TIAM1
SOD1	SOD1
HUNK	HUNK
LINC00159	LINC00159
OLIG2	OLIG2
OLIG1	OLIG1
RCAN1	RCAN1
LINC01426	LINC01426
RUNX1	RUNX1
CLDN14	CLDN14
ERG	ERG
ETS2	ETS2
PSMG1	PSMG1
PCP4	PCP4
ZNF295-AS1	ZNF295-AS1
TFF3	TFF3
RSPH1	RSPH1
RRP1B	RRP1B
PDXK	PDXK
CSTB	CSTB
AATBC	AATBC
LRRC3	LRRC3
ITGB2	ITGB2
FAM207A	SLX9
LINC00334	LINC00334
COL6A1	COL6A1
COL6A2	COL6A2
S100B	S100B
IL17RA	IL17RA
TMEM121B	TMEM121B
CDC45	CDC45
GP1BB	GP1BB
RANBP1	RANBP1
RTN4R	RTN4R
TCEAL2	TCEAL2
TMSB15A	TMSB15A
BEX1	BEX1
TCEAL9	TCEAL9
BEX3	BEX3
RAB9B	RAB9B
NUP62CL	NUP62CL
ACSL4	ACSL4
AMMECR1-IT1	AMMECR1-IT1
PAK3	PAK3
AMOT	AMOT
KLHL13	KLHL13
IL13RA1	IL13RA1
LONRF3	LONRF3
ATP1B4	ATP1B4
GLUD2	GLUD2
XIAP	XIAP
SH2D1A	SH2D1A
TEX13D	TEX13D
OCRL	OCRL
UTP14A	UTP14A
GPC4	GPC4
PHF6	PHF6
MIR503HG	MIR503HG
LINC00629	LINC00629
MOSPD1	MOSPD1
SMIM10L2B	SMIM10L2B
FHL1	FHL1
LINC00892	LINC00892
CD40LG	CD40LG
MCF2	MCF2
SPANXA2-OT1	SPANXA2-OT1
HMGB3	HMGB3
MAGEA4	MAGEA4
MAGEA6	MAGEA6
MAGEA1	MAGEA1
SLC6A8	SLC6A8
BCAP31	BCAP31
PDZD4	PDZD4
NAA10	NAA10
FLNA	FLNA
ATP6AP1	ATP6AP1
CTAG2	CTAG2
DKC1	DKC1
CLIC2	CLIC2
WASIR1	WASIR1
MT-ATP6	MTATP6P1
MT-ND4	MTND4P1
