Gene	Symbol
HNRNPR	HNRNPR
ZNF436	ZNF436
ZNF436-AS1	ZNF436-AS1
TCEA3	TCEA3
ASAP3	ASAP3
E2F2	E2F2
ID3	ID3
MDS2	MDS2
RPL11	RPL11
ELOA-AS1	ELOA-AS1
ELOA	ELOA
PITHD1	PITHD1
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
CNR2	CNR2
PNRC2	PNRC2
SRSF10	SRSF10
MYOM3	MYOM3
IL22RA1	IL22RA1
IFNLR1	IFNLR1
LINC02800	LINC02800
GRHL3	GRHL3
STPG1	STPG1
NIPAL3	NIPAL3
RCAN3AS	RCAN3AS
RCAN3	RCAN3
NCMAP-DT	RCAN3AS
NCMAP	NCMAP
SRRM1	SRRM1
CLIC4	CLIC4
RUNX3	RUNX3
LINC02793	LINC02793
SYF2	SYF2
RSRP1	RSRP1
RHD	RHD
TMEM50A	TMEM50A
RHCE	RHCE
MACO1	MACO1
LDLRAP1	LDLRAP1
MAN1C1	MAN1C1
SELENON	SELENON
MTFR1L	MTFR1L
AUNIP	AUNIP
PAQR7	PAQR7
STMN1	STMN1
PAFAH2	PAFAH2
EXTL1	EXTL1
SLC30A2	SLC30A2
TRIM63	TRIM63
PDIK1L	PDIK1L
FAM110D	FAM110D
C1orf232	C1orf232
ZNF593	ZNF593
CNKSR1	CNKSR1
CATSPER4	CATSPER4
CEP85	CEP85
SH3BGRL3	SH3BGRL3
UBXN11	UBXN11
CD52	CD52
CRYBG2	CRYBG2
ZNF683	ZNF683
LIN28A	LIN28A
DHDDS	DHDDS
HMGN2	HMGN2
RPS6KA1	RPS6KA1
ARID1A	ARID1A
PIGV	PIGV
ZDHHC18	ZDHHC18
SFN	SFN
GPN2	GPN2
GPATCH3	GPATCH3
NUDC	NUDC
NR0B2	NR0B2
KDF1	KDF1
TRNP1	TRNP1
TENT5B	TENT5B
SLC9A1	SLC9A1
WDTC1	WDTC1
TMEM222	TMEM222
SYTL1	SYTL1
MAP3K6	MAP3K6
FCN3	FCN3
CD164L2	CD164L2
GPR3	GPR3
WASF2	WASF2
AHDC1	AHDC1
FGR	FGR
LINC02574	LINC02574
IFI6	IFI6
FAM76A	FAM76A
STX12	STX12
PPP1R8	PPP1R8
THEMIS2	THEMIS2
RPA2	RPA2
SMPDL3B	SMPDL3B
XKR8	XKR8
EYA3	EYA3
PTAFR	PTAFR
DNAJC8	DNAJC8
ATP5IF1	ATP5IF1
SESN2	SESN2
MED18	MED18
PHACTR4	PHACTR4
RCC1	RCC1
SNHG3	SNHG3
TRNAU1AP	TRNAU1AP
SNHG12	SNHG12
TAF12	TAF12
RAB42	RAB42
LINC01715	TAF12-DT
GMEB1	GMEB1
YTHDF2	YTHDF2
OPRD1	OPRD1
EPB41	EPB41
TMEM200B	TMEM200B
SRSF4	SRSF4
MECR	MECR
PTPRU	PTPRU
LINC01756	LINC01756
LINC01648	LINC01648
MATN1	MATN1
MATN1-AS1	MATN1-AS1
LAPTM5	LAPTM5
LINC01778	LINC01778
SDC3	SDC3
PUM1	PUM1
NKAIN1	NKAIN1
SNRNP40	SNRNP40
ZCCHC17	ZCCHC17
FABP3	FABP3
SERINC2	SERINC2
LINC01226	LINC01226
TINAGL1	TINAGL1
HCRTR1	HCRTR1
PEF1	PEF1
COL16A1	COL16A1
ADGRB2	ADGRB2
SPOCD1	SPOCD1
PTP4A2	PTP4A2
KHDRBS1	KHDRBS1
TMEM39B	TMEM39B
KPNA6	KPNA6
TXLNA	TXLNA
CCDC28B	CCDC28B
IQCC	IQCC
DCDC2B	DCDC2B
TMEM234	TMEM234
EIF3I	EIF3I
FAM167B	FAM167B
LCK	LCK
HDAC1	HDAC1
MARCKSL1	MARCKSL1
TSSK3	TSSK3
FAM229A	FAM229A
BSDC1	BSDC1
ZBTB8B	ZBTB8B
ZBTB8A	ZBTB8A
ZBTB8OS	ZBTB8OS
RBBP4	RBBP4
SYNC	SYNC
KIAA1522	NHSL3
YARS	YARS1
S100PBP	S100PBP
FNDC5	FNDC5
HPCA	HPCA
TMEM54	TMEM54
RNF19B	RNF19B
AK2	AK2
AZIN2	AZIN2
HYI	HYI
HYI-AS1	HYI-AS1
PTPRF	PTPRF
KDM4A	KDM4A
KDM4A-AS1	KDM4A-AS1
ST3GAL3	ST3GAL3
ARTN	ARTN
AL357079.1	LINC02918
IPO13	IPO13
DPH2	DPH2
ATP6V0B	ATP6V0B
B4GALT2	B4GALT2
CCDC24	CCDC24
SLC6A9	SLC6A9
KLF17	KLF17
KLF18	KLF18
DMAP1	DMAP1
ERI3	ERI3
ERI3-IT1	ERI3-IT1
RNF220	RNF220
TMEM53	TMEM53
ARMH1	ARMH1
KIF2C	KIF2C
RPS8	RPS8
BEST4	BEST4
PLK3	PLK3
TCTEX1D4	DYNLT4
BTBD19	BTBD19
PTCH2	PTCH2
EIF2B3	EIF2B3
HECTD3	HECTD3
UROD	UROD
ZSWIM5	ZSWIM5
LINC01144	LINC01144
HPDL	HPDL
MUTYH	MUTYH
TOE1	TOE1
TESK2	TESK2
CCDC163	CCDC163
MMACHC	MMACHC
PRDX1	PRDX1
AKR1A1	AKR1A1
NASP	NASP
CCDC17	CCDC17
GPBP1L1	GPBP1L1
TMEM69	TMEM69
IPP	IPP
MAST2	MAST2
PIK3R3	PIK3R3
TSPAN1	TSPAN1
P3R3URF	P3R3URF
POMGNT1	POMGNT1
LURAP1	LURAP1
RAD54L	RAD54L
LRRC41	LRRC41
UQCRH	UQCRH
NSUN4	NSUN4
FAAH	FAAH
LINC01398	LINC01398
DMBX1	DMBX1
TMEM275	TMEM275
MKNK1-AS1	MKNK1-AS1
KNCN	KNCN
MKNK1	MKNK1
MOB3C	MOB3C
ATPAF1	ATPAF1
TEX38	TEX38
EFCAB14-AS1	EFCAB14-AS1
EFCAB14	EFCAB14
CYP4B1	CYP4B1
CYP4A11	CYP4A11
CYP4X1	CYP4X1
CYP4Z1	CYP4Z1
CYP4A22-AS1	CYP4A22-AS1
CYP4A22	CYP4A22
LINC00853	LINC00853
PDZK1IP1	PDZK1IP1
TAL1	TAL1
STIL	STIL
CMPK1	CMPK1
LINC01389	LINC01389
FOXE3	FOXE3
FOXD2-AS1	FOXD2-AS1
FOXD2	FOXD2
LINC01738	LINC01738
TRABD2B	TRABD2B
LINC02794	LINC02794
SLC5A9	SLC5A9
SPATA6	SPATA6
AGBL4	AGBL4
BEND5	BEND5
AGBL4-IT1	AGBL4-IT1
ELAVL4	ELAVL4
LINC02808	LINC02808
DMRTA2	DMRTA2
FAF1	FAF1
CDKN2C	CDKN2C
C1orf185	C1orf185
LINC01562	LINC01562
RNF11	RNF11
TTC39A	TTC39A
TTC39A-AS1	TTC39A-AS1
EPS15	EPS15
OSBPL9	OSBPL9
NRDC	NRDC
RAB3B	RAB3B
TXNDC12	TXNDC12
KTI12	KTI12
TXNDC12-AS1	TXNDC12-AS1
BTF3L4	BTF3L4
ZFYVE9	ZFYVE9
CC2D1B	CC2D1B
ORC1	ORC1
PRPF38A	PRPF38A
TUT4	TUT4
GPX7	GPX7
SHISAL2A	SHISAL2A
COA7	COA7
ZYG11B	ZYG11B
ZYG11A	ZYG11A
ECHDC2	ECHDC2
SCP2	SCP2
PODN	PODN
SLC1A7	SLC1A7
CPT2	CPT2
CZIB	CZIB
MAGOH	MAGOH
LRP8	LRP8
LINC01771	LRP8-DT
LINC02812	LINC02812
DMRTB1	DMRTB1
GLIS1	GLIS1
NDC1	NDC1
YIPF1	YIPF1
DIO1	DIO1
HSPB11	IFT25
LRRC42	LRRC42
LDLRAD1	LDLRAD1
TMEM59	TMEM59
TCEANC2	TCEANC2
CDCP2	CDCP2
CYB5RL	CYB5RL
MRPL37	MRPL37
SSBP3	SSBP3
SSBP3-AS1	SSBP3-AS1
LINC02784	LINC02784
ACOT11	ACOT11
FAM151A	FAM151A
MROH7	MROH7
TTC4	TTC4
PARS2	PARS2
TTC22	TTC22
LEXM	CIMAP2
DHCR24	DHCR24
DHCR24-DT	DHCR24-DT
TMEM61	TMEM61
BSND	BSND
PCSK9	PCSK9
USP24	USP24
MIR4422HG	MIR4422HG
LINC01755	LINC01755
LINC01753	LINC01753
LINC01767	LINC01767
PLPP3	PLPP3
PRKAA2	PRKAA2
FYB2	FYB2
C8A	C8A
C8B	C8B
DAB1	DAB1
DAB1-AS1	DAB1-AS1
OMA1	OMA1
TACSTD2	TACSTD2
MYSM1	MYSM1
JUN	JUN
LINC01135	JUN-DT
LINC02777	LINC02777
LINC01358	JUN-DT
FGGY	FGGY
HOOK1	HOOK1
CYP2J2	CYP2J2
C1orf87	C1orf87
LINC02778	LINC02778
LINC01748	LINC01748
NFIA	NFIA
NFIA-AS2	NFIA-AS2
NFIA-AS1	NFIA-AS1
TM2D1	TM2D1
PATJ	PATJ
L1TD1	L1TD1
KANK4	KANK4
USP1	USP1
DOCK7	DOCK7
ANGPTL3	ANGPTL3
ATG4C	ATG4C
LINC01739	LINC01739
LINC00466	LINC00466
FOXD3-AS1	FOXD3-AS1
FOXD3	FOXD3
ALG6	ALG6
ITGB3BP	ITGB3BP
EFCAB7	EFCAB7
DLEU2L	DLEU2L
PGM1	PGM1
ROR1	ROR1
ROR1-AS1	ROR1-AS1
UBE2U	UBE2U
CACHD1	CACHD1
RAVER2	RAVER2
JAK1	JAK1
LINC01359	LINC01359
AK4	AK4
DNAJC6	DNAJC6
AL139294.1	DNAJC6-AS1
LEPROT	LEPROT
LEPR	LEPR
PDE4B	PDE4B
GIPC2	GIPC2
LINC02787	LINC02787
BARHL2	BARHL2
LINC02609	LINC02609
LINC02788	LINC02788
LINC01763	LINC01763
ZNF644	ZNF644
HFM1	HFM1
CDC7	CDC7
TGFBR3	TGFBR3
BRDT	BRDT
EPHX4	EPHX4
SETSIP	SETSIP
BTBD8	BTBD8
C1orf146	C1orf146
GLMN	GLMN
RPAP2	RPAP2
GFI1	GFI1
EVI5	EVI5
RPL5	RPL5
DIPK1A	DIPK1A
MTF2	MTF2
TMED5	TMED5
CCDC18	CCDC18
CCDC18-AS1	CCDC18-AS1
DR1	DR1
FNBP1L	FNBP1L
BCAR3	BCAR3
DNTTIP2	DNTTIP2
GCLM	GCLM
ABCA4	ABCA4
ARHGAP29	ARHGAP29
ARHGAP29-AS1	ARHGAP29-AS1
ABCD3	ABCD3
F3	F3
SLC44A3	SLC44A3
CNN3	CNN3
ALG14	ALG14
TLCD4	TLCD4
RWDD3	RWDD3
LINC01760	LINC01760
LINC01650	LINC01650
LINC01761	LINC01761
LINC02607	LINC02607
LINC02790	LINC02790
LINC01787	LINC01787
PTBP2	PTBP2
DPYD	DPYD
DPYD-AS1	DPYD-AS1
DPYD-IT1	DPYD-IT1
DPYD-AS2	DPYD-AS2
MIR137HG	MIR137HG
LINC01776	LINC01776
SNX7	SNX7
PLPPR5	PLPPR5
PLPPR4	PLPPR4
LINC01708	LINC01708
PALMD	PALMD
FRRS1	FRRS1
AGL	AGL
SLC35A3	SLC35A3
MFSD14A	SLC71A1-AS1
SASS6	SASS6
TRMT13	TRMT13
LRRC39	LRRC39
DBT	DBT
RTCA-AS1	RTCA-AS1
RTCA	RTCA
CDC14A	CDC14A
GPR88	GPR88
LINC01349	LINC01349
VCAM1	VCAM1
EXTL2	EXTL2
SLC30A7	SLC30A7
DPH5	DPH5
S1PR1	S1PR1
LINC01307	LINC01307
LINC01709	LINC01709
OLFM3	OLFM3
COL11A1	COL11A1
RNPC3	RNPC3
AMY2B	AMY2B
AMY2A	AMY2A
AMY1A	AMY1A
AMY1B	AMY1B
AMY1C	AMY1C
LINC01676	LINC01676
LINC01677	LINC01677
LINC01661	LINC01661
PRMT6	PRMT6
NTNG1	NTNG1
VAV3	VAV3
VAV3-AS1	VAV3-AS1
LINC02785	VAV3-AS1
SLC25A24	SLC25A24
NBPF4	NBPF4
NBPF6	NBPF6
FAM102B	EEIG2
HENMT1	HENMT1
PRPF38B	PRPF38B
FNDC7	FNDC7
STXBP3	STXBP3
AKNAD1	AKNAD1
SPATA42	SPATA42
GPSM2	GPSM2
CLCC1	CLCC1
WDR47	WDR47
TAF13	TAF13
TMEM167B	TMEM167B
C1orf194	CFAP276
KIAA1324	ELAPOR1
SARS	SARS1
CELSR2	CELSR2
PSRC1	PSRC1
MYBPHL	MYBPHL
SORT1	SORT1
PSMA5	PSMA5
SYPL2	SYPL2
ATXN7L2	ATXN7L2
CYB561D1	CYB561D1
AMIGO1	AMIGO1
GPR61	GPR61
GNAI3	GNAI3
GNAT2	GNAT2
